Brain_1.CEL	Brain_2.CEL	Fetal_brain_1.CEL	Fetal_brain_2.CEL	Fetal_liver_1.CEL	Fetal_liver_2.CEL	Liver_1.CEL	Liver_2.CEL
1080_s_at	-43.35	-34.75	-57.75	-44.15	-70.65	-74.85	219	1242.25
1081_at	246.65	367	672	867.25	496.65	910	126.75	203.15
1082_at	16	48.4	115.7	62.95	7.85	60.35	7.5	156.65
1083_s_at	9.75	51.65	-14.75	24	2.4	45.9	6.35	17.5
1084_at	-31.9	4.35	-18.5	-42.75	-40.75	-61.05	-21.15	-77
1085_s_at	50.9	78.4	65.15	53.6	122	221.15	104.75	221.85
1086_at	-10.4	7	23.4	25.75	1.4	27.35	19	73.4
1087_at	36.4	77.35	30.75	4.25	404	933.85	5.85	80.6
1088_at	23.25	18.4	16.5	5.35	0.5	14.35	0	7.9
1089_i_at	41.85	49.5	-3.4	-4.65	3.25	16.75	79.25	13.5
109_at	336.6	504.7	199	289.9	171.85	428.9	376.8	550.75
1090_f_at	49.35	29.9	25.5	3.75	5.6	22.6	-5.25	1.35
1091_at	3035.65	5703.9	638.75	705.1	11.6	74.75	-34.6	-49
1092_at	-18.6	-19.75	76.25	24.4	150.15	352	94.6	315.65
1093_at	11.1	20.6	9.35	29.25	72.3	181.4	8.65	47.6
1094_g_at	16.1	36.1	50.25	38.75	135.85	441.85	15.9	85.6
1095_s_at	7.5	4.35	3.5	-1.85	8.5	35.5	5	26.75
1096_g_at	15.35	-13.4	3	0.85	4.65	125.25	-1.4	-15.7
1097_s_at	38.25	34.15	16.5	25	12.15	54.5	98.1	71
1098_at	0.25	-2.75	-8	-12.15	15.65	52.75	10.5	-14.35
1099_s_at	47.5	100.4	12.25	14.65	39.75	5.1	16.8	-11.65
110_at	-23.4	-3	107.6	91.4	353.15	544.35	-29.7	-5.55
1100_at	95	202.25	55.4	39.1	3.9	126.65	36.1	86.5
1101_at	225.65	318.25	215	339.4	62.1	115	29.25	91
1102_s_at	31.65	5.65	13.85	6.75	23.85	94.1	-11.25	-9.6
1103_at	-47.75	8.5	28.6	10.1	956.85	1929.25	7644.1	8551
1104_s_at	1041.6	1799.25	747.75	925.35	5552.6	9720.75	1258	1996.1
1105_s_at	455.75	623.5	201	239.25	152.5	123.5	136.85	446.6
1106_s_at	53.75	22.75	65.5	62.05	33.05	48.5	79.5	278.6
1107_s_at	162.4	334.35	62.75	108.7	111.4	280.7	182.8	381.85
1108_s_at	-38.7	2.3	-23.5	-12.25	21	46.75	68.25	75
1109_s_at	-48.5	-28.9	-45.65	-42	-38.25	-83.9	-32.9	-199.75
111_at	144.6	268.9	78.75	95.9	69.8	92.25	147.6	149
1110_at	39.65	27.65	78.2	54	54.65	63	20.5	82.25
1111_at	-8.55	2.1	-15.85	-1.15	-13	-0.75	-11.9	-19.5
1112_g_at	108.4	196.3	175.35	152.25	60.5	173.9	63.5	211
1113_at	-20.1	0.25	-40.65	-46.6	22.65	-40.95	-14.65	-52.25
1114_at	56.75	34.75	-8.85	-0.5	34	129.5	14.55	-57.5
1115_at	1.85	2.75	1	0.25	573.9	1811.1	23	10.5
1116_at	19.5	37.2	97.35	49	39.35	79.75	25.25	88.85
1117_at	-16.5	11	21	-7.1	30.6	111.15	203.1	526.55
1118_at	12.15	3	-11.5	-28	-25.35	-76.4	-16.5	-76.75
1119_at	233.1	351.45	169.4	230.75	118.5	306.4	61.65	141.15
112_g_at	-6	12.5	31.25	36.25	34.65	23.3	2.3	4.5
1120_at	143.6	90.65	108.25	165.65	29	34.35	10.4	53
1121_g_at	78.75	18.15	31.85	73.5	0.15	5.5	1.75	-10.25
1122_f_at	226	433.35	152.35	177.75	343.35	592.25	189.1	304
1123_at	-91.9	-92.55	-90.6	-117.85	-61.55	-141.4	-161.75	-389.15
1124_at	148.35	163.65	255.4	360.9	29.7	221.7	60.5	80.5
1125_s_at	-8	-7	-8	-4	-5.25	-64.75	-20	-39.75
1126_s_at	12.9	11.85	7.35	22.6	26.25	81.5	24.15	39.75
1127_at	75.75	71.5	-0.15	7.85	44	137	23.25	24.5
1128_s_at	21.5	30.9	61.65	8.25	47.9	36	10.15	45.15
1129_at	-29.5	-4.55	-13.35	-25.2	-64	0.85	-17.1	-3.9
113_i_at	221.65	370.9	14.75	27.4	-16.35	-9	-6.5	-19.6
1130_at	855.25	1015.65	231.25	269.15	219.4	505.1	140.9	344.5
1131_at	454	644.5	81.05	302.25	212.15	540.75	190.85	407.35
1132_s_at	88.65	104.5	109.25	87.7	183.65	295.4	83	232.65
1133_at	-20	2.6	-29.5	-27.35	14.15	-4.8	0.15	6.5
1134_at	533	1249.75	359.5	411.85	139.5	431.4	127.75	213.6
1135_at	77.65	148.25	92.75	88.9	80.4	169.15	8.85	-13.95
1136_at	31.5	44.25	35.4	34.65	77.65	74.4	15.25	97.65
1137_at	98.65	161.5	63.1	53.15	7.25	54.25	-0.5	23.25
1138_at	287.9	351.9	177.4	285.15	138.9	463.6	-6.5	7.15
1139_at	-3.75	33.2	79.75	122.9	24.15	38.6	5.5	33.7
114_r_at	-10	-45.3	-9	-54.8	-58	-110.5	-25.8	-78.7
1140_at	7	50.35	9.85	30.1	-1.5	22.2	-21.1	0.75
1141_at	42.6	73.85	108	136.75	70.35	134.4	52	124.35
1142_at	49.35	31.25	20.25	39.35	100.55	32.5	30.5	31.65
1143_s_at	45.9	54.5	91.45	38.15	60.9	173.3	-8.5	39.5
1144_at	-3.1	20.75	-8.9	12.75	-9.65	15.1	10	-34.5
1145_g_at	59.85	154	92.35	115.5	126.65	80.9	61.65	178.85
1146_at	-35.9	3.75	-29.5	-42.9	49	13	56	44.6
1147_at	297	457.25	728	1123.4	82.25	177.5	44.35	37.65
1148_s_at	53.4	91.2	158.1	193.5	109.1	278	5.35	10.75
1149_at	-42	-74.65	-21.5	-30.75	-61.1	-43.25	-45.6	-117.85
115_at	-10.35	-18	121.6	180.75	56	143.4	-10.85	20
1150_at	76.45	89.15	127.3	65.25	34.35	19	5	-3.75
1151_at	338.1	503.35	2009.9	2272.65	340.4	894.1	158.5	298.6
1152_i_at	140	146.6	298.9	305.65	274.75	581.4	181.75	558.35
1153_f_at	-67.9	-52.6	-40.9	15.25	-74.4	-119	-63.5	-134.1
1154_at	115.85	156.5	123.25	89.75	181.65	373.5	73.35	124.35
1155_at	65.75	72.75	80	95	49.9	80.5	60.5	107.85
1156_at	2	15	26.65	-0.1	59.1	61.5	19.65	36.75
1157_s_at	56.25	39.15	17.35	63.25	-16.5	20	5.05	5
1158_s_at	2397.4	4718.5	1504.25	2133.75	49.9	62.6	5.75	5.85
1159_at	-9.25	4.1	-16.15	7.35	-23	-1	-12.9	-13
116_at	-11.15	6.6	28.65	25.6	19.5	22.85	3.65	37.5
1160_at	985.75	1570.65	257.9	395.5	657.4	1507	918.25	1514
1161_at	4515	6726.1	3021.5	4576	2396.25	4592	2173.85	2723.65
1162_g_at	60.15	176.9	40.25	31.85	74.5	73.6	-0.5	32.75
1163_at	33	44.65	71.75	141.4	7.65	78.25	8.75	15.65
1164_at	31.75	50.25	103.25	154.6	49.1	34.35	1.1	22.5
1165_at	5.5	11.05	7.15	1.25	-2.1	13.4	4.1	1.6
1166_at	632.6	966.35	378.75	412.5	566.9	1407.75	237.5	428.65
1167_s_at	119.85	336.5	314.15	227.25	428.75	441.5	56.15	522.4
1168_at	14.75	17.5	13.35	15.9	23.6	27.5	2.35	2.1
1169_at	55	56.1	24.15	47.15	25.6	44.4	29.35	168.5
117_at	69.4	31.35	79.65	66.35	771	1870	33	80.65
1170_at	23	36.1	38	36.5	33.05	98.75	24.75	125.45
1171_s_at	16.5	24.5	137.9	54	-44.85	15.5	-22.45	-79.9
1172_at	-34.35	-10.75	-17.25	-27.15	26.45	4.5	-48.8	9.65
1173_g_at	896.4	872.9	511	753.5	2482.9	4126.75	1014.1	1527
1174_at	-8.1	-21.75	-34.35	-20	-14.9	-47.85	-5	-89.1
1175_s_at	-7.4	12.2	-13	-6	31.5	51.25	4046	7026.1
1176_at	26.4	31.35	65.75	56.9	15.9	32.9	-5.25	4.6
1177_at	13	19.65	7.65	6.4	43.2	-9.05	-8.4	7.35
1178_at	10.35	4.15	39.85	43.75	0	45.85	5.65	23.4
1179_at	3154.1	3892.1	2452.25	3508.25	715.15	1527.35	654.65	835.65
118_at	249	446.7	-24.85	-31	15.6	-25.55	-43.1	-57.75
1180_g_at	5067.5	5380.65	3758.6	5615.1	1764.85	3959	1493.4	2166.75
1181_at	1.4	7.9	-32.9	-6.1	-24.1	12.75	-11	-33.75
1182_at	53.15	49.35	49.15	71.85	18.4	21.5	11.75	33.25
1183_at	-5.85	24.25	-6	-3.05	21.6	30	-5.5	23.4
1184_at	71.75	139.25	126.9	158	129.75	337.65	203.5	256
1185_at	52.2	15.75	69	90.1	36	164.5	16.25	56.75
1186_at	24.1	27.6	28.4	71.2	-2.4	-18.9	-7.1	-22.15
1187_at	-30.35	14.2	-9.5	-18.35	-21.1	34.9	-4.1	-14.1
1188_g_at	8	21.85	8	0.9	-24.25	0	4.4	-18.5
1189_at	160.4	160	253	330.75	70.05	100.5	24.15	97.25
119_at	29.75	75.15	80.25	53.25	67.7	148.5	62.35	168.15
1190_at	-6.6	10.25	173	166.25	-74.95	-109.65	-43	-80.85
1191_s_at	456	516.65	331.6	688.15	274	743.4	162.25	291.35
1192_at	420.7	488.5	342.65	466.6	78.6	191.35	49.25	103.75
1193_at	-38.85	-23.5	27.35	2.75	29.25	4.65	0.25	9.85
1194_g_at	-47	-10.25	23.7	62.35	-30.2	-34.5	9.5	-2.6
1195_s_at	47.65	84.4	113.6	122	12.5	39.65	4.75	-0.15
1196_at	-14.4	17.75	26.75	21.9	46	89.85	5.75	-4.25
1197_at	14.9	36.75	1.6	57	74.9	186.1	15.75	40.5
1198_at	36	19.3	37.5	41.5	0.6	42	6.85	4
1199_at	473.75	447	704.6	1042.65	1589.3	3497.75	701	1235.75
120_at	16.5	19.5	42.6	14	73.1	216.35	55.15	66.15
1200_at	15.25	14.1	-22.75	-54.5	-51	-54.15	-0.6	-38.5
1201_at	132.35	209.75	106	156.5	19.6	36.5	26.25	23.85
1202_g_at	225.25	359.25	185.7	316.05	63.7	-1.85	9	71.75
1203_at	-14.6	-6.4	-0.75	-30.35	-24.5	-10.85	-17	-45
1204_at	30	-3.25	-53.4	4.6	-44.5	-138.5	-26.6	-49
1205_at	-18.85	12.6	-16.35	-23.5	-17.4	-12.15	22.15	-0.25
1206_at	133.6	361.6	6.5	57.25	-50.4	-34.75	-9	-59.9
1207_at	16.55	19	33.65	18.4	7.4	13	-4.3	-29.75
1208_at	-21.25	-39.45	-70.75	-53.35	-73.25	-109	-55.15	-88.25
1209_at	-18	6.25	8.9	31.9	-26.1	30.1	-1.4	-13.6
121_at	636.65	789.15	726.6	635.15	696.6	954.15	447.75	867.15
1210_s_at	-26	16.1	18.1	7.1	-44	-17.25	-34.4	-32.35
1211_s_at	50.1	76.25	29.6	65.75	88.5	240.3	25	54.45
1212_at	9	127	14.5	13.4	29.6	228.65	729.7	697
1213_at	160.25	149.4	252.1	336.25	39.4	68	12.6	10.35
1214_s_at	-17.75	-21.5	-7.75	-21	-16.75	-69.75	-35.5	-91.45
1215_at	-31.25	-45.85	-68.15	-45.35	-31.65	-87.35	-27.4	-36.35
1216_at	38.75	67.65	41.4	59.75	23.5	-40.4	-8.5	-53.15
1217_g_at	307.75	523.75	150	225.15	60.6	93.5	11	64.75
1218_at	153.9	240.4	80.6	19.25	253.65	494.25	311.4	678.1
1219_at	-68	-53.25	-37.4	-60	-58.35	-62.15	-64	-197.75
122_at	20.5	16.15	-7.75	23.6	-3.25	44.25	13.6	0.55
1220_g_at	13.25	65.9	43.25	49.1	43.25	186.6	22.65	68.85
1221_at	19	71.75	54.5	52.65	49.9	81.35	15.25	35.9
1222_at	14.85	52.65	59.4	50.75	10.3	18.85	13	4.65
1223_at	52	136.25	8.65	-10.35	76.25	38.85	39.25	43.9
1224_at	143.65	550.25	186.5	218.25	64.35	195.65	-0.5	6.75
1225_g_at	318.5	865	282.65	283.75	133	455.85	97.65	167.2
1226_at	38	49.5	125.1	157.75	43	123.75	3.7	13.45
1227_g_at	-30.15	-18.15	8.75	-7.85	-62.35	-80.5	-56.85	-153.4
1228_s_at	77.5	80.35	110.5	114.1	183.35	548.25	218.9	289.4
1229_at	10.5	20.75	11.85	13.1	16.4	23.25	1.15	4.4
123_at	9.95	18.25	6.15	20.5	26.75	36.5	21.5	48.25
1230_g_at	30.3	44.35	59.1	52.85	26.6	82.4	8.75	42.85
1231_at	18.25	21.5	20	42.1	16	24	3.15	29.1
1232_s_at	14	32.05	15.25	18.25	4345.15	9672	289.25	648.25
1233_s_at	-30.15	7.15	-1.5	-57.2	-24.5	-25.5	-24.15	-77.2
1234_at	-1.65	52	115.85	152.5	2.75	22.5	5.5	93.6
1235_at	2770.25	4008.65	3900.65	4368.15	488.05	1040.85	152.9	356
1236_s_at	-15	10	25.75	40.4	-55.35	-84	-6.5	-64.5
1237_at	91.1	82.1	116.75	104.1	234	496.75	56	92.35
1238_at	142.9	238.25	103.15	208	9.5	49.4	3.6	-6.3
1239_s_at	-2	-1.9	22.65	0.1	37.15	33.9	0.75	-6.35
124_i_at	-256.85	-155.45	-192	-316.35	-180.85	-324.5	-43.1	-755
1240_at	-14.25	35.5	78.8	101.4	152.6	367	8.05	115.75
1241_at	870.4	1359.25	663.85	868.95	244.35	605.9	138.35	502.65
1242_at	93	272.15	41.65	86.35	71.25	208.4	15.5	35.75
1243_at	64	71.8	81.9	86.65	66.5	138.9	62.1	114.65
1244_at	39.5	70.85	92.35	110.85	80.75	116.1	78	40.9
1245_i_at	34.35	21.85	100.6	140.5	38.95	87	4.15	31.35
1246_at	44.5	143.5	189.1	193.65	19	52.75	-3.75	93.75
1247_g_at	-25.95	9.65	70.65	121	-15.85	-40.8	-3.1	-47.55
1248_at	176.15	305.5	177.4	207.9	168.75	375.25	99.85	161.5
1249_at	17	36.5	6.65	29	37.25	12.75	7.6	-15.1
125_r_at	-1042.5	-890.5	-120.5	-185	-502	-475.5	-628.5	-2637
1250_at	57.35	82.5	90	141.5	40.75	144.85	15.35	-13.6
1251_g_at	422.35	763.15	83.5	205.35	59.1	201.95	-28	-117.75
1252_at	659.5	819.35	1015.45	1341.35	85.75	189.5	82.65	15.5
1253_at	154.75	176.5	193.75	241.4	35.25	54.35	25.5	79.8
1254_at	117.65	154.7	168.6	101.15	237.35	327.7	32.25	97.95
1255_g_at	50.65	58.25	85	57	16	42.75	6.25	27
1256_at	80.65	239	486.6	560.35	10.65	-27.25	-20.5	-17.9
1257_s_at	29.75	125.15	-2.75	30.25	60.35	128.75	9.5	72.1
1258_s_at	103.75	120.75	152.65	207.85	52.6	159.55	39.85	97.15
1259_at	13.1	78.1	57.15	91	11.1	72.6	65.25	46.5
126_s_at	-0.15	6.75	3.85	6.9	-14.5	3.9	-11.15	-8
1260_s_at	-49.65	-27	-51.85	-50.1	30.85	81.85	819.25	1310.85
1261_i_at	-10	-19	-18.25	12.1	-9.5	18.25	16	56.15
1262_s_at	6.5	31.25	50	122.15	-12.7	8.25	10.15	-26.9
1263_at	8.75	6.5	7.65	1	39.75	43.5	13.9	74.75
1264_at	13.75	26.25	43	45.85	10.05	6.6	2.9	14.15
1265_g_at	-8.65	-9.9	62.15	81.65	-20	4.6	-5.5	-3.65
1266_s_at	22.5	-5	-15.65	23.4	-11.6	-4.9	8.35	-0.6
1267_at	11.5	8.75	11.75	15.7	-8.5	70.9	-4.5	-11.85
1268_at	1618.35	3498.25	1192.5	1481	516.1	868.35	561.1	781
1269_at	120.55	108.65	196.75	261.15	46.25	79.6	24.25	44.75
127_at	36	-12.5	-28.75	-44	-29.5	-25.35	-14.4	9.35
1270_at	913.9	1385.15	451.4	551.25	118.5	374.9	-0.25	59.05
1271_g_at	92.05	155.4	123.65	143.25	71.05	266.9	60.6	154.65
1272_at	54.1	54	129	236.6	90.5	204	27.85	17.5
1273_r_at	102	161.9	121.5	166.25	162.5	233.1	61.25	224.85
1274_s_at	93.75	259.65	96.8	170	235.8	652.1	153.75	401.6
1275_at	20.7	19.65	23.5	25.9	34.9	27.75	4.9	9.3
1276_g_at	39.5	15	21.2	38.1	266.15	560	75.25	78.35
1277_at	55.15	37.5	24.4	-8.25	104.9	94.4	83.6	74.25
1278_at	70.5	191.5	-1.4	21.75	11.85	104	68	37.85
1279_s_at	-62.75	-57.9	-50.7	-44.25	-141.1	-394.35	-152.35	-164.6
128_at	2.9	15.3	-1.5	19.6	3.35	36.8	-11.25	-25.6
1280_i_at	318.2	176.7	189	-19	283	237.3	95.7	142.2
1281_f_at	-27	-15	-24	-44	-25.3	39.2	-25.2	-29
1282_s_at	10	39.65	9.9	1.15	8.5	2.15	5	23.65
1283_at	-3.1	-12.1	-4	11	-10.4	-2.5	-4.9	-3.5
1284_at	31.75	21.4	109.65	158.5	-66.2	-87.9	-21.1	-23.85
1285_at	5	21.5	30.15	14.75	-17.25	-42.75	-18.75	-30.65
1286_s_at	-2.3	1.1	-3	7.4	-9.1	-23.1	0.4	1.4
1287_at	480.35	774.5	470.5	517.85	271.75	680	84.6	109.1
1288_s_at	8563.75	11000.25	12124.9	17873	10292.65	18312.5	8459.75	11065.5
1289_at	49.35	40.9	27.05	63.85	21.25	44.45	18.75	-8.75
129_g_at	-15.65	6.45	-8.15	-13.4	8.4	21.15	2.1	-23
1290_g_at	14.9	156.9	-16	-22	19.15	47.65	-14.6	-36.4
1291_s_at	-8	50.65	40.6	13.75	438	717.2	268.4	477.95
1292_at	0.75	6.4	-79.35	-46.5	-151.75	-318.25	-118.5	-201.25
1293_s_at	12.35	4.9	-7	-2.25	4.5	-14.6	8.15	-15.9
1294_at	92	87	19.15	34.1	12	87.15	163.1	165.2
1295_at	185.75	361.75	258.4	315	537.35	1354.9	493.65	1059.25
1296_at	-6	12.1	61.6	81.5	35.35	103.9	-31.6	-19.35
1297_at	-38.4	-18.5	-32.6	-2.1	8.9	2	-11.55	-117.5
1298_at	8.1	4.15	-3.1	3.9	-5.4	1.15	12.1	3.1
1299_at	-19.95	36.75	-0.6	55.4	-44.75	22.15	-0.65	-49.25
130_s_at	-89.5	-58.95	-112.25	-159.15	-65.1	-178	-107.5	-162.85
1300_at	30.8	24.75	33.5	26.7	32.35	32.4	8.75	37.35
1301_s_at	-34.9	-23.65	-20.1	-25.5	-40.15	-49.75	-71	-16.9
1302_s_at	-29.15	1	49.5	15.75	-3.1	-14.65	-4.35	15.65
1303_at	-12.5	-2.6	-1.5	10	0	13.9	9.75	-1.2
1304_at	9	28	-1.5	2.75	12.4	3.65	3.7	1.25
1305_s_at	9.75	46.1	14.4	0.25	362.1	949.25	2593.1	3870.4
1306_at	104.1	279.4	159.5	162.85	169.15	267.75	144.5	301.15
1307_at	62.5	79.6	144.1	159.65	26.25	49.25	22.35	37.4
1308_g_at	15.25	60.5	56	65.6	10.85	19.75	-0.75	2.4
1309_at	962.25	1428	187.25	396	659.5	1666.75	805.9	987.4
131_at	56	136.1	110.15	178.15	58.4	187.5	15.65	-58.65
1310_at	1037.65	1802.6	564.25	812.65	995.75	1967.1	1176.85	1949.35
1311_at	669.4	1110.75	500	779.8	551.25	1229	630.35	954.9
1312_at	1072.75	1723.25	375.7	520.75	522.85	965.95	277.6	516
1313_at	244.5	317.15	231.45	245.6	84.9	248.1	129.85	148
1314_at	249	311.85	352.05	378.5	90.75	347.75	2.15	82.35
1315_at	8269.5	12706.75	2371.15	3479.5	5968.35	10584.75	4135.25	4891.35
1316_at	64.9	84	86.5	72	35.5	88.85	35.5	27
1317_at	24.25	71.25	41.25	28	73	47.65	3	80.85
1318_at	76.6	178.25	231.5	400.15	78.75	264.15	32.85	22
1319_at	9.5	35.5	9.5	9.5	2.55	-7.6	-5.4	-21.85
132_at	-29.65	20.35	6.25	35.9	18	-17.65	1.4	-29.1
1320_at	5.25	12.25	-39.9	-5.6	-39.5	-40.25	-16	-64
1321_s_at	12.5	0.25	21.75	18.4	9.65	18.85	-2.15	21.9
1322_at	1	1	2.65	3	26	26.75	0.15	-2.35
1323_at	7267.5	9218.1	3847.85	5784.4	10079.85	15734.65	6700	8744.25
1324_at	-25	-22.35	2.15	17.75	-55.5	-5.35	0.85	-18.6
1325_at	68.9	121.35	105.65	152.35	34.5	94.55	12.75	20.45
1326_at	8.5	5.5	6.75	7.15	34	94.35	10	-16.65
1327_s_at	58.15	93.25	31.25	51.45	3.85	10.4	0.5	33.75
1328_at	30.4	12.65	19.9	9.15	15.85	18.4	14.9	37.85
1329_s_at	1.85	25	67.6	85.25	11.85	37	1	2.9
133_at	74.75	62.3	84.75	71.85	129.85	252.85	92.25	138.5
1330_at	-116.75	-123.1	-68.75	-93.35	-86.25	-299.35	-90.5	-340
1331_s_at	25.25	4.75	26	66.15	41.5	0.1	3.9	-32.95
